Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:01:01,1380,1390,1390,1400,1302,1576,1441,1524,1627,1700,1492,1751,788,721,740,703,690,748,778,705,750,796,803,796,373,382,379,367,350,387,459,444,417,409,426,452,204,200,190,190,204,221,213,192,219,218,250,254,96,96,104,96,103,114,103,181,114,126,144,133,46,43,74,54,35,42,72,54,58,51,84,74,1704,1563,867,866,449,486,269,278,172,150,116,92,7,6,0,7,5,0,7,0,0,0,0,4
0:02:01,1467,1443,1459,1406,1341,1631,1505,1602,1707,1747,1538,1827,766,733,747,711,723,763,762,740,802,816,839,857,356,368,388,366,361,386,483,452,441,460,457,490,213,192,193,203,210,234,226,197,239,251,263,275,102,94,97,101,104,101,103,160,120,148,167,148,34,43,69,54,73,46,60,61,66,70,94,77,1757,1669,914,948,522,555,306,326,179,173,116,111,12,0,0,0,0,14,1,1,0,0,5,4
0:03:01,1490,1474,1459,1423,1341,1636,1497,1639,1729,1799,1607,1890,756,729,748,721,700,780,827,753,830,830,884,903,370,362,383,363,376,389,473,458,450,481,488,497,201,186,185,201,215,222,229,204,258,250,282,297,97,92,97,109,102,111,102,174,140,138,166,175,52,51,51,49,37,41,66,63,65,75,83,107,1808,1711,962,986,544,580,314,327,198,186,108,111,14,0,1,0,4,11,14,10,9,27,0,0
0:04:01,1503,1469,1458,1488,1348,1643,1553,1668,1780,1853,1616,1923,769,707,764,724,738,753,824,770,859,871,920,927,362,388,376,390,374,395,477,456,474,491,509,526,217,195,188,187,229,235,234,200,264,270,313,303,99,87,95,100,90,96,103,189,131,146,189,184,50,40,49,58,53,57,52,57,70,68,95,93,1855,1743,985,1027,588,621,366,368,220,190,117,135,4,1,5,12,22,6,0,2,0,0,12,5
0:05:01,1482,1483,1483,1444,1387,1630,1550,1682,1800,1880,1682,1968,740,714,757,712,730,771,832,803,910,893,943,954,361,393,384,383,370,388,504,476,503,511,536,566,204,197,208,196,221,232,248,212,290,272,345,321,112,90,106,98,94,110,113,163,144,154,191,194,33,53,62,45,49,38,64,61,67,79,107,110,1883,1779,1022,1090,629,671,358,385,249,228,128,140,4,0,0,13,5,4,10,0,5,4,1,0
0:06:01,1479,1461,1434,1455,1360,1664,1573,1710,1836,1911,1728,2021,769,725,729,758,736,815,865,805,928,942,992,996,364,363,375,357,381,405,520,464,513,528,565,600,210,180,189,186,225,215,232,222,294,287,355,364,113,95,105,99,88,101,114,198,150,158,214,201,38,47,52,43,62,51,70,68,73,73,117,115,1935,1855,1061,1137,638,678,415,418,242,235,149,148,0,0,6,16,13,0,3,2,6,0,13,0
0:07:01,1484,1476,1486,1463,1386,1685,1636,1744,1918,1944,1776,2063,795,709,744,729,762,797,867,806,946,941,1017,1029,380,370,395,406,406,407,513,487,514,551,618,599,215,183,188,200,227,227,238,233,307,318,377,371,109,89,98,118,91,121,112,181,161,155,223,212,48,41,59,37,51,61,60,61,77,86,138,115,1990,1897,1120,1179,706,732,438,462,266,266,160,150,0,4,12,0,6,3,1,14,0,0,0,0
0:08:01,1479,1449,1484,1442,1380,1674,1637,1729,1921,1988,1780,2142,788,702,754,723,749,801,899,852,973,975,1045,1055,366,381,384,377,370,419,509,504,541,548,625,662,218,205,197,209,229,233,243,250,328,318,388,375,95,98,108,94,97,95,131,194,155,170,226,233,50,47,50,41,55,45,58,65,93,86,124,125,2057,1937,1166,1225,723,763,451,474,280,279,164,168,4,4,10,0,14,8,8,0,0,3,2,0
0:09:01,1487,1470,1471,1494,1395,1663,1651,1783,1989,2017,1902,2163,750,720,751,737,746,806,898,847,989,987,1108,1117,368,382,383,398,364,406,539,513,552,576,672,690,215,184,193,201,232,233,241,232,341,326,412,404,101,115,103,106,90,96,114,191,165,185,246,246,45,61,46,58,58,63,54,60,89,87,160,129,2101,1994,1233,1272,770,792,489,507,301,296,182,168,10,1,14,0,2,10,0,5,10,21,8,2
0:10:01,1472,1474,1456,1470,1405,1683,1702,1786,1985,2084,1917,2193,775,699,776,747,777,799,931,854,1022,1048,1138,1168,372,377,388,381,375,410,544,525,599,606,675,718,207,200,206,196,237,224,234,226,328,336,443,429,95,90,102,99,104,120,112,191,182,203,272,244,49,40,48,48,48,48,56,49,97,89,155,135,2155,2053,1250,1323,816,821,499,521,317,330,195,172,5,9,9,8,0,11,4,20,2,8,29,0
