well,row,column,protein,protein_conc,protein_unit,compound,compound_conc,compound_unit,substrate,substrate_conc,substrate_unit,role,exclude,group,notes
A1,A,1,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A2,A,2,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A3,A,3,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A4,A,4,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A5,A,5,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A6,A,6,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A7,A,7,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A8,A,8,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A9,A,9,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A10,A,10,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A11,A,11,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
A12,A,12,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,50.0,uM,sample,False,,Inhibitor dose-response
B1,B,1,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B2,B,2,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B3,B,3,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B4,B,4,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B5,B,5,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B6,B,6,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B7,B,7,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B8,B,8,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B9,B,9,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B10,B,10,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B11,B,11,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
B12,B,12,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,25.0,uM,sample,False,,Inhibitor dose-response
C1,C,1,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C2,C,2,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C3,C,3,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C4,C,4,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C5,C,5,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C6,C,6,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C7,C,7,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C8,C,8,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C9,C,9,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C10,C,10,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C11,C,11,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
C12,C,12,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,12.5,uM,sample,False,,Inhibitor dose-response
D1,D,1,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D2,D,2,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
